Linkedin_Company_URL,Company_Name,Headquarters,Website,Founded,Company_Size,Industry,Company_Type,
Linkedin_Company_URL,Company_Name,Headquarters,Website,Founded,Company_Size,Industry,Company_Type
https://www.linkedin.com/sales/company/12515,JetBrains,"Prague, Prague, Czechia",,,1001-5000 employees,Computer Software,
https://www.linkedin.com/sales/company/215128,Netcompany,"Copenhagen, Capital Region, Denmark",,,1001-5000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/9977,Milestone Systems,"Copenhagen, Capital Region, Denmark",,,501-1000 employees,Computer Software,
https://www.linkedin.com/sales/company/4851,NNIT,"Copenhagen, Capital Region, Denmark",,,1001-5000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/164758,Logicom Distribution,"Nicosia, Cyprus",,,501-1000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/3213525,Atos IT Solutions and Services A/S,"Copenhagen, Capital Region, Denmark",,,201-500 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/4409,KMD,"Copenhagen, Capital Region, Denmark",,,1001-5000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/64640883,Talentech Denmark,Denmark,,,201-500 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/2234988,Dalux,"Copenhagen, Capital Region, Denmark",,,51-200 employees,Computer Software,
https://www.linkedin.com/sales/company/5651,SimCorp,"Copenhagen, Capital Region, Denmark",,,1001-5000 employees,Computer Software,
https://www.linkedin.com/sales/company/3585015,Templafy,"Copenhagen, Capital Region, Denmark",,,201-500 employees,Computer Software,
https://www.linkedin.com/sales/company/7092,Teknologisk Institut,"Copenhagen, Capital Region, Denmark",,,1001-5000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/292794,AlfaPeople,"Copenhagen, Capital Region, Denmark",,,501-1000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/72240,Adform,"Copenhagen, Capital Region, Denmark",,,501-1000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/5823,EG A/S,"Herning, Middle Jutland, Denmark",,,1001-5000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/166233,Systematic,"Aarhus, Middle Jutland, Denmark",,,1001-5000 employees,Computer Software,
https://www.linkedin.com/sales/company/163152,Columbus A/S,"Copenhagen, Capital Region, Denmark",,,1001-5000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/12573,Stibo Systems,"Aarhus, Middle Jutland, Denmark",,,501-1000 employees,Computer Software,
https://www.linkedin.com/sales/company/5869,BEC,"Roskilde, Zealand, Denmark",,,1001-5000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/1021704,3CX,"Engomi, Cyprus",,,51-200 employees,Computer Software,
https://www.linkedin.com/sales/company/10814,ASBIS,"Ayios Athanasios, Cyprus",,,1001-5000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/238318,IBA Group,"Prague, Prague, Czechia",,,1001-5000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/3181342,AVASO Technology Solutions,"Næstved, Zealand, Denmark",,,1001-5000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/10072046,Dixa,"Copenhagen, Capital Region, Denmark",,,51-200 employees,Computer Software,
https://www.linkedin.com/sales/company/30899,ProData Consult,"Copenhagen, Capital Region, Denmark",,,501-1000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/2058107,e-Estonia,"Tallinn, Harjumaa, Estonia",,,201-500 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/10300629,Digitain,"Nicosia, Cyprus",,,1001-5000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/7388,Unicorn,"Prague, Prague, Czechia",,,1001-5000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/16641,Bankdata,"Fredericia, South Denmark, Denmark",,,501-1000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/19038853,Vectorium,"Tallinn, Harjumaa, Estonia",,,11-50 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/824480,LogPoint,"Copenhagen, Capital Region, Denmark",,,51-200 employees,Computer Software,
https://www.linkedin.com/sales/company/2640913,Karnov Group Denmark,"Copenhagen, Capital Region, Denmark",,,201-500 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/11251,Styrelsen for It og Læring,"Copenhagen, Capital Region, Denmark",,,201-500 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/3039441,Toggl Track,"Tallinn, Harjumaa, Estonia",,,51-200 employees,Computer Software,
https://www.linkedin.com/sales/company/165893,SDC,"Copenhagen, Capital Region, Denmark",,,501-1000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/2569590,Bosch Nordic,"Ballerup, Capital Region, Denmark",,,1001-5000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/373060,Kentico Software,"Brno, South Moravia, Czechia",,,201-500 employees,Computer Software,
https://www.linkedin.com/sales/company/22704,Combis d.o.o.,"Zagreb, Zagreb, Croatia",,,201-500 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/483083,MicroLink Eesti,"Tallinn, Harjumaa, Estonia",,,201-500 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/3352822,Q agency,"Zagreb, Zagreb, Croatia",,,51-200 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/30320,KING ICT,,,,201-500 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/30861,Span,"Zagreb, Zagreb, Croatia",,,501-1000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/862073,IT RELATION A/S,"Herning, Middle Jutland, Denmark",,,501-1000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/5168560,Heimdal Security,"Copenhagen, Capital Region, Denmark",,,51-200 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/804354,Umbraco,"Odense, South Denmark, Denmark",,,51-200 employees,Computer Software,
https://www.linkedin.com/sales/company/153431,Logicom Public Ltd,"Strovolos, Cyprus",,,501-1000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/14413711,Era Swap Foundation OÜ,"Tallinn, Harjumaa, Estonia",,,51-200 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/1410379,GIS Cloud,"Zagreb, Zagreb, Croatia",,,11-50 employees,Computer Software,
https://www.linkedin.com/sales/company/2836881,EmbedIT,"Brno, South Moravia, Czechia",,,501-1000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/379932,one.com,"Copenhagen, Capital Region, Denmark",,,201-500 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/997774,Inspari A/S,"Copenhagen, Capital Region, Denmark",,,51-200 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/1594906,Silensec,"Limassol, Limassol (Lemesos), Cyprus",,,11-50 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/10072482,KMD Poland,"Warsaw, Mazowieckie, Poland",,,201-500 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/10589855,Integromat,"Prague, Prague, Czechia",,,51-200 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/18860,NTT DATA Business Solutions Nordics,"Horsens, Middle Jutland, Denmark",,,501-1000 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/792102,Bohemia Interactive Simulations,"Prague, Prague, Czechia",,,201-500 employees,Computer Software,
https://www.linkedin.com/sales/company/56306,Novicell,"Aarhus, Middle Jutland, Denmark",,,201-500 employees,Information Technology and Services,
https://www.linkedin.com/sales/company/17810,Sela Group,"Košťálov, Liberec, Czechia",,,201-500 employees,Computer Software,
